"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,9.358817e+000,1.025771e+001,1.250000e+002,2.300000e+002,96,4.548970e-001,4.656352e+002,6.974358e+001,1.734411e+001,9.238152e-001,6.767606e+001,2.395833e+000,2.573271e+000,4.848882e-001
1,B,1.160103e+001,1.025771e+001,1.530000e+002,2.360000e+002,119,4.762766e-001,3.546438e+002,7.945279e+001,2.277589e+001,1.307496e+000,9.926655e+001,1.983193e+000,2.177190e+000,5.071928e-001
1,C,1.462315e+000,1.025771e+001,1.250000e+002,9.000000e+000,15,2.782384e-001,2.288073e+002,6.600608e+001,1.411352e+001,6.047814e-001,6.053333e+001,6.000000e-001,1.801787e+000,5.942474e-001
1,D,3.217093e+000,1.025771e+001,2.510000e+002,3.200000e+001,33,3.319790e-001,3.420145e+002,7.338614e+001,2.026098e+001,5.619838e-001,7.622475e+001,9.696970e-001,1.818883e+000,6.087396e-001
1,E,1.852266e+000,1.025771e+001,1.650000e+002,1.300000e+001,19,2.670445e-001,3.041040e+002,6.301533e+001,1.414840e+001,4.570765e-001,4.384211e+001,6.842105e-001,1.774887e+000,5.858898e-001
1,F,2.242216e+000,1.025771e+001,1.760000e+002,1.700000e+001,23,3.410409e-001,2.509439e+002,5.960326e+001,1.400483e+001,6.023432e-001,4.564493e+001,7.391304e-001,1.912222e+000,5.681825e-001
1,G,2.827143e+000,1.025771e+001,1.610000e+002,1.800000e+001,29,3.138084e-001,2.922339e+002,6.766797e+001,1.465916e+001,2.934270e-001,4.992069e+001,6.206897e-001,1.739799e+000,5.819835e-001
1,H,2.047241e+000,1.025771e+001,1.530000e+002,1.400000e+001,21,2.871933e-001,2.519645e+002,6.353277e+001,1.485293e+001,6.860471e-001,4.883333e+001,6.666667e-001,2.191846e+000,5.278424e-001
1,I,2.242216e+000,1.025771e+001,1.860000e+002,1.800000e+001,23,3.411518e-001,3.434925e+002,8.796287e+001,2.243212e+001,4.477635e-001,9.637681e+001,7.826087e-001,1.534428e+000,6.649917e-001
1,J,2.144729e+000,1.025771e+001,1.860000e+002,2.100000e+001,22,3.087561e-001,4.171210e+002,7.027196e+001,1.360556e+001,4.715644e-001,6.935909e+001,9.545455e-001,1.657669e+000,6.051358e-001
1,K,1.462315e+000,1.025771e+001,9.900000e+001,3.000000e+001,15,3.597344e-001,4.136078e+002,9.564959e+001,2.820901e+001,1.128680e+000,1.007879e+002,2.000000e+000,1.584678e+000,5.604944e-001
1,L,3.022118e+000,1.025771e+001,1.710000e+002,3.300000e+001,31,3.582243e-001,2.526255e+002,6.173654e+001,1.423315e+001,8.313863e-001,4.847312e+001,1.064516e+000,1.967560e+000,5.394770e-001
1,M,3.314581e+000,1.025771e+001,2.100000e+002,5.400000e+001,34,2.821236e-001,4.975950e+002,6.752187e+001,1.211989e+001,6.515403e-001,3.971285e+001,1.588235e+000,2.007228e+000,5.271930e-001
